Title,Authors,Journal,Year,DOI,Source,Publications,Yes No
artificial light pollution increases the sensitivity of tropical zooplankton to extreme warming,"Nguyen, TT",ENVIRONMENTAL TECHNOLOGY & INNOVATION,2020,10.1016/j.eti.2020.101179,WoS,1,0
"direct and delayed synergistic effects of extreme temperature, metals and food limitation on tropical reef-associated fish juveniles","Le, MH",ESTUARINE COASTAL AND SHELF SCIENCE,2022,10.1016/j.ecss.2022.108108,WoS,1,0
phenotypic but no genetic adaptation in zooplankton 24 years after an abrupt +10°c climate change,"Pais-Costa, AJ",EVOLUTION LETTERS,2022,10.1002/evl3.280,WoS,1,0
heatwaves in southeast asia and their changes in a warmer world,Dong Z.; Wang L.; Sun Y.; Hu T.; Limsakul A.; Singhruck P.; Pimonsree S.,Earth's Future,2021,10.1029/2021EF001992,Scopus,1,
projections and patterns of heat-related mortality impacts from climate change in southeast asia,Amnuaylojaroen T.; Parasin N.; Limsakul A.,Environmental Research Communications,2024,10.1088/2515-7620/ad3128,Scopus,1,0
impacts of and adaptation to climate change on the oil palm in malaysia: a systematic review,Abubakar A.; Ishak M.Y.; Makmom A.A.,Environmental Science and Pollution Research,2021,10.1007/s11356-021-15890-3,Scopus,1,
impact of extreme weather events on mental health in south and southeast asia: a,Islam MA,Environmental research,2024,10.1016/j.envres.2024.118436,PubMed,1,
impacts of and adaptation to climate change on the oil palm in malaysia: a,Makmom AA,Environmental science and pollution research international,2021,10.1007/s11356-021-15890-3,PubMed,1,
effects of climate-related risks and extreme events on health outcomes and health utilization of primary care in rural and remote areas: a scoping review,"Dewi, SP",FAMILY PRACTICE,2023,10.1093/fampra/cmac151,WoS,1,
histopathology and oxidative stress responses of nile tilapia <i>oreochromis niloticus</i> exposed to temperature shocks,"Phrompanya, P",FISHERIES SCIENCE,2021,10.1007/s12562-021-01511-y,WoS,1,
"short targeting multiplex pcr assay to detect and discriminate beef, buffalo, chicken, duck, goat, sheep and pork dna in food products","Uddin, SMK",FOOD ADDITIVES AND CONTAMINANTS PART A-CHEMISTRY ANALYSIS CONTROL,2021,10.1080/19440049.2021.1925748,WoS,1,
"effects of dairy processing on phospholipidome, in-vitro digestion and caco-2 cellular uptake of bovine milk","Mou, BL",FOOD CHEMISTRY,2021,10.1016/j.foodchem.2021.130426,WoS,1,
accelerating urban heating under land-cover and climate change scenarios in indonesia: application of the universal thermal climate index,"Setiawati, MD",FRONTIERS IN BUILT ENVIRONMENT,2021,10.3389/fbuil.2021.622382,WoS,1,
at-home blood collection and stabilization in high temperature climates using <i>home</i>rna,"Brown, LG",FRONTIERS IN DIGITAL HEALTH,2022,10.3389/fdgth.2022.903153,WoS,1,
implications of climate change on surface temperature in north indian states: evidence from cmip6 model ensembles,"Awasthi, A",FRONTIERS IN ENVIRONMENTAL SCIENCE,2023,10.3389/fenvs.2023.1264757,WoS,1,
living in a hot city: thermal justice through green open space provision,"Ufaira, R",FRONTIERS IN HUMAN DYNAMICS,2023,10.3389/fhumd.2023.1237515,WoS,1,
"24-h movement behaviour, thermal perception, thirst, and heat management strategies of children and adults during heat alerts: a pilot study","Ravanelli, N",FRONTIERS IN PHYSIOLOGY,2023,10.3389/fphys.2023.1179844,WoS,1,
genetic and molecular mechanisms conferring heat stress tolerance in tomato plants,"Hoshikawa, K",FRONTIERS IN PLANT SCIENCE,2021,10.3389/fpls.2021.786688,WoS,1,
widening the lens of population-based health research to climate change impacts and adaptation: the climate change and health evaluation and response system (cheers),"Barteit, S",FRONTIERS IN PUBLIC HEALTH,2023,10.3389/fpubh.2023.1153559,WoS,1,
"thermal manipulation modifies embryonic growth, hepatic free amino acid concentrations, and hatching performance in layer-type chicks","Han, GF",FRONTIERS IN VETERINARY SCIENCE,2022,10.3389/fvets.2022.1049910,WoS,1,
insights into morphological and physio-biochemical adaptive responses in mungbean,Gayacharan,Frontiers in genetics,2023,10.3389/fgene.2023.1206451,PubMed,1,
evaluating metabolic and genomic data for predicting grain traits under high night temperature stress in rice,"Bi, Y",G3-GENES GENOMES GENETICS,2023,10.1093/g3journal/jkad052,WoS,1,
preparation of styrene-butadiene rubber (sbr) composite incorporated with collagen-functionalized graphene oxide for green tire application,"Khan, A",GELS,2022,10.3390/gels8030161,WoS,1,
mapping and detection of hotspot sources from industrial area heat (iah) using aerial and satellite-based tir data in pasir gudang,"Zakari, MD","GEOINFORMATION WEEK 2022, VOL. 48-4",2023,10.5194/isprs-archives-XLVIII-4-W6-2022-415-2023,WoS,1,
cooling as social practice: heat mitigation and the making of communal space in jakarta's informal settlements,"Salsabila, S",HABITAT INTERNATIONAL,2023,10.1016/j.habitatint.2023.102924,WoS,1,
the impact of cold waves and heat waves on mortality: evidence from a lower middle-income country,"Nguyen, CV",HEALTH ECONOMICS,2023,10.1002/hec.4663,WoS,1,
quantitative typological analysis applied to the morphology of export mugs and their social factors in the ming and qing dynasties from the perspective of east-west trade,"Ao, JH",HERITAGE SCIENCE,2024,10.1186/s40494-024-01237-x,WoS,1,
"wildfires, haze, and climate change",Ooi M.C.G.; Chan A.; Latif M.T.; Lin N.-H.; Li L.,Handbook of Energy and Environmental Security,2022,10.1016/B978-0-12-824084-7.00013-8,Scopus,1,
"effects of temperature and hypoxia on respiration, photorespiration, and photosynthesis of seagrass leaves from contrasting temperature regimes","Rasmusson, LM",ICES JOURNAL OF MARINE SCIENCE,2020,10.1093/icesjms/fsaa093,WoS,1,
spatio-temporal distribution of heat index and land cover change in tropical cities of southeast asia,Nucifera F.; Riasasi W.; Ichii K.,"ICOIACT 2022 - 5th International Conference on Information and Communications Technology: A New Way to Make AI Useful for Everyone in the New Normal Era, Proceeding",2022,10.1109/ICOIACT55506.2022.9972123,Scopus,1,
haptitemp: a next-generation thermosensitive gelsight-like visuotactile sensor,"Abad, AC",IEEE SENSORS JOURNAL,2022,10.1109/JSEN.2021.3135941,WoS,1,
nmpc-based integrated thermal management of battery and cabin for electric vehicles in cold weather conditions,"Hajidavalloo, MR",IEEE TRANSACTIONS ON INTELLIGENT VEHICLES,2023,10.1109/TIV.2023.3275952,WoS,1,
tri-level multi-energy system planning method for zero energy buildings considering long- and short-term uncertainties,"Sun, QR",IEEE TRANSACTIONS ON SUSTAINABLE ENERGY,2023,10.1109/TSTE.2022.3212168,WoS,1,
a review of heat stress signaling in plants,Firmansyah,INTERNATIONAL CONFERENCE ON SUSTAINABLE CEREALS AND CROPS PRODUCTION,2020,10.1088/1755-1315/484/1/012041,WoS,1,
"land, jet stream, and other atmospheric effects on burned area estimation during the south asian heatwave of 2022","Irawan, AM",INTERNATIONAL JOURNAL OF APPLIED EARTH OBSERVATION AND GEOINFORMATION,2024,10.1016/j.jag.2024.103720,WoS,1,
the effects of heat exposure on tropical farm workers in malaysia: six-month physiological health monitoring,"How, V",INTERNATIONAL JOURNAL OF ENVIRONMENTAL HEALTH RESEARCH,2023,10.1080/09603123.2022.2033706,WoS,1,
use of stone columns for quick drainage and temperature reduction in porous pavement,"Liu, JW",INTERNATIONAL JOURNAL OF GEOMECHANICS,2023,10.1061/(ASCE)GM.1943-5622.0002561,WoS,1,
"climate change, women's health, and the role of obstetricians and gynecologists in leadership","Giudice, LC",INTERNATIONAL JOURNAL OF GYNECOLOGY & OBSTETRICS,2021,10.1002/ijgo.13958,WoS,1,
numerical investigation of heat transfer characteristics of pin-fins with c-shaped-recessed endwall in gas turbine blades internal cooling channel,"Pham, TC",INTERNATIONAL JOURNAL OF HEAT AND FLUID FLOW,2024,10.1016/j.ijheatfluidflow.2024.109309,WoS,1,
thermal study of polymerase chain reaction with capillary tubes,"Abid, HA",INTERNATIONAL JOURNAL OF HEAT AND MASS TRANSFER,2021,10.1016/j.ijheatmasstransfer.2021.121508,WoS,1,
a decentralized data logger system for water related disaster with wireless mesh topology,"Floretes, NAP",INTERNATIONAL JOURNAL OF INTEGRATED ENGINEERING,2020,,WoS,1,
regulation of plant responses to temperature stress: a key factor in food security and for mitigating effects of climate change,"Lee, Z",INTERNATIONAL JOURNAL OF PLANT PRODUCTION,2024,10.1007/s42106-024-00282-7,WoS,1,
conceptualizing spatial heterogeneity of urban composition impacts on precipitation within tropics,"Zakaria, NH",INTERNATIONAL JOURNAL OF SUSTAINABLE CONSTRUCTION ENGINEERING AND,2023,10.30880/ijscet.2023.14.05.011,WoS,1,
convective heat transfer enhancement of ionic wind under variable air pressures,"Lee, JR",INTERNATIONAL JOURNAL OF THERMAL SCIENCES,2021,10.1016/j.ijthermalsci.2020.106657,WoS,1,
non-uniform slab heating pattern in a preheating furnace to reduce fuel consumption: burners' load distribution effects through semitransparent medium via discreet ordinates' thermal radiation and k-ε turbulent model,"Ajili, SH",INTERNATIONAL JOURNAL OF THERMOPHYSICS,2020,10.1007/s10765-020-02701-z,WoS,1,
"urban heat mitigation by green and blue infrastructure: drivers, effectiveness,",Jones L,Innovation (Cambridge (Mass.)),2024,10.1016/j.xinn.2024.100588,PubMed,1,
the impact of heat waves on health care services in low- or middle-income countries: protocol for a systematic review,"Sapari, H",JMIR RESEARCH PROTOCOLS,2023,10.2196/44702,WoS,1,
genomes of the cosmopolitan fruit pest bactrocera dorsalis (diptera: tephritidae) reveal its global invasion history and thermal adaptation,"Zhang, Y",JOURNAL OF ADVANCED RESEARCH,2023,10.1016/j.jare.2022.12.012,WoS,1,
machine learning of key variables impacting extreme precipitation in various regions of the contiguous united states,"Lin, XM",JOURNAL OF ADVANCES IN MODELING EARTH SYSTEMS,2023,10.1029/2022MS003334,WoS,1,
modelling climate change impacts on wet and dry season rice in cambodia,"Alvar-Beltrán, J",JOURNAL OF AGRONOMY AND CROP SCIENCE,2022,10.1111/jac.12617,WoS,1,
forecasting heating and cooling loads of buildings: a comparative performance analysis,"Roy, SS",JOURNAL OF AMBIENT INTELLIGENCE AND HUMANIZED COMPUTING,2020,10.1007/s12652-019-01317-y,WoS,1,
physiological adaptability of pregnant doe kacang goats in a dry-land-area of indonesia,"Beyleto, VY",JOURNAL OF ANIMAL BEHAVIOUR AND BIOMETEOROLOGY,2022,10.31893/jabb.22023,WoS,1,
parametric analysis of heat-affected zone (haz) characteristics and taper angle during machining of alumina ceramic using co2 laser,"Umroh, B",JOURNAL OF APPLIED SCIENCE AND ENGINEERING,2023,10.6180/jase.202404_27(04).0012,WoS,1,
organ histopathology and hematological changes associated with heat exposure in australian desert birds,"Xie, SZ",JOURNAL OF AVIAN MEDICINE AND SURGERY,2020,10.1647/1082-6742-34.1.41,WoS,1,
assessing the growing threat of heat stress in the north africa and arabian peninsula region connected to climate change,"Hamed, MM",JOURNAL OF CLEANER PRODUCTION,2024,10.1016/j.jclepro.2024.141639,WoS,1,
decadal background for active extreme drought episodes in the decade of 2010-19 over southeastern mainland asia,"Wang, L",JOURNAL OF CLIMATE,2022,10.1175/JCLI-D-21-0561.1,WoS,1,
changes in genetic parameters for milk yield and heat tolerance in the thai holstein crossbred dairy population under different heat stress levels and over time,"Sungkhapreecha, P",JOURNAL OF DAIRY SCIENCE,2021,10.3168/jds.2021-20151,WoS,1,
"high temperature frequently increases facilitation between aquatic foundation species: a global meta-analysis of interaction experiments between angiosperms, seaweeds and bivalves","Clemente, KJE",JOURNAL OF ECOLOGY,2023,10.1111/1365-2745.14101,WoS,1,
techno-economic design of battery thermal management systems in different climates,"Teichert, O",JOURNAL OF ENERGY STORAGE,2022,10.1016/j.est.2021.103832,WoS,1,
crystallite size on micromechanical characteristics of wo<sub>3</sub> microparticles,"Nandiyanto, ABD",JOURNAL OF ENGINEERING RESEARCH,2021,10.36909/jer.v9i3A.7170,WoS,1,
managing risk and reaping rewards: climate-change futures as a game-changer for energy futures markets,"Hoque, ME",JOURNAL OF FUTURES MARKETS,2024,10.1002/fut.22513,WoS,1,
evaluating the effects of heatwave events on hydrological processes in the contiguous united states (2003-2022),"Hao, YF",JOURNAL OF HYDROLOGY,2024,10.1016/j.jhydrol.2024.131368,WoS,1,
quantification of heat energy leading to failure of 18650 lithium-ion battery abused by external heating,"Chombo, PV",JOURNAL OF LOSS PREVENTION IN THE PROCESS INDUSTRIES,2022,10.1016/j.jlp.2022.104855,WoS,1,
residual stress simulation for bimetallic sleeve roll constructed by shrink-fitting in comparison with bimetallic solid roll,"Aridi, MR",JOURNAL OF MANUFACTURING PROCESSES,2023,10.1016/j.jmapro.2023.09.068,WoS,1,
multi-criteria optimization of geopolymer foam composition,"Le, VS",JOURNAL OF MATERIALS RESEARCH AND TECHNOLOGY-JMR&T,2023,10.1016/j.jmrt.2023.09.199,WoS,1,
analysis of granite failure modes and energy conversion under uniaxial compression at various temperatures,"Shah, KS",JOURNAL OF MINING AND ENVIRONMENT,2023,10.22044/jme.2023.12870.2336,WoS,1,
automatic identification of the stress sources of protein aggregates using flow imaging microscopy images,"Gambe-Gilbuena, A",JOURNAL OF PHARMACEUTICAL SCIENCES,2020,10.1016/j.xphs.2019.10.034,WoS,1,
first-principles study on the specific heat jump in the glass transition of silica glass and the prigogine-defay ratio,"Shirai, K",JOURNAL OF PHYSICS-CONDENSED MATTER,2023,10.1088/1361-648X/acf6ec,WoS,1,
nature-inspired design for high-efficiency solar-driven water evaporation,"Dao, VD",JOURNAL OF POWER SOURCES,2024,10.1016/j.jpowsour.2024.234676,WoS,1,
the urban crime and heat gradient in high and low poverty areas,"Heilmann, K",JOURNAL OF PUBLIC ECONOMICS,2021,10.1016/j.jpubeco.2021.104408,WoS,1,
relationship of heat stress with acute kidney disease and chronic kidney disease: a literature review,"Alayyannur, PA",JOURNAL OF PUBLIC HEALTH RESEARCH,2022,10.1177/22799036221104149,WoS,1,
biomarkers for warfighter safety and performance in hot and cold environments,"Lee, JKW",JOURNAL OF SCIENCE AND MEDICINE IN SPORT,2023,10.1016/j.jsams.2022.12.006,WoS,1,
eco-anxiety: a q method analysis towards eco-anxiety attitudes in the united arab emirates,"Takshe, AA",JOURNAL OF SOCIAL WORK PRACTICE,2023,10.1080/02650533.2022.2137120,WoS,1,
study of i-shape steel beams subjected to combined fire and impact loading and failure assessment method,"Guo, YX",JOURNAL OF STRUCTURAL ENGINEERING,2024,10.1061/JSENDH.STENG-12855,WoS,1,
sonication impact on thermal conductivity of f-mwcnt nanofluids using xgboost and gaussian process regression,"Said, Z",JOURNAL OF THE TAIWAN INSTITUTE OF CHEMICAL ENGINEERS,2023,10.1016/j.jtice.2023.104818,WoS,1,
comparative evaluation on the thermal properties and stability of mwcnt nanofluid with conventional surfactants and ionic liquid,"Bakthavatchalam, B",JOURNAL OF THERMAL ANALYSIS AND CALORIMETRY,2022,10.1007/s10973-020-10374-x,WoS,1,
optimizing future mortality rate prediction of extreme temperature-related cardiovascular disease based on skewed distribution in peninsular malaysia,"Esa, AIM",JOURNAL OF WATER AND CLIMATE CHANGE,2022,10.2166/wcc.2022.215,WoS,1,
early planting and relay cropping: pathways to cope with heat and drought?,Khongdee N.; Hilger T.; Pansak W.; Cadisch G.,Journal of Agriculture and Rural Development in the Tropics and Subtropics,2021,10.17170/kobra-202104133652,Scopus,1,
trends and patterns of sst and associated frontal frequency in the vietnamese upwelling center,Le P.T.D.; Fischer A.M.,Journal of Marine Systems,2021,10.1016/j.jmarsys.2021.103600,Scopus,1,
"small vegetated patches greatly reduce urban surface temperature during a summer heatwave in adelaide, australia","Ossola, A",LANDSCAPE AND URBAN PLANNING,2021,10.1016/j.landurbplan.2021.104046,WoS,1,
effect of corrugated pipe on laminar convective heat transfer by using swcnt nanofluid: a numerical study,"Rabby, MII",LATIN AMERICAN APPLIED RESEARCH,2022,10.52292/j.laar.2022.832,WoS,1,
sterilization of coconut milk in flexible packages via ohmic-assisted thermal sterilizer,"Tiravibulsin, C",LWT-FOOD SCIENCE AND TECHNOLOGY,2021,10.1016/j.lwt.2021.111552,WoS,1,
mixed-layer heat budget in western and eastern tropical pacific ocean during el nino event in 2015/2016,"Kusuma, WA",MAKARA JOURNAL OF SCIENCE,2020,10.7454/mss.v24i1.11724,WoS,1,
effect of bee bread on pregnancy outcomes and reproductive system of rats under heat stress exposure,"Nor, NANM",MALAYSIAN JOURNAL OF FUNDAMENTAL AND APPLIED SCIENCES,2021,,WoS,1,
bleaching reduces reproduction in the giant clam tridacna gigas,"Sayco, SLG",MARINE ECOLOGY PROGRESS SERIES,2023,10.3354/meps14251,WoS,1,
"toward better understanding of anharmonic structural, thermodynamic, and elastic properties of casio 3 perovskite under extreme conditions via statistical moment method","Hoc, NQ",MATERIALIA,2024,10.1016/j.mtla.2024.102105,WoS,1,
investigation of dielectric properties and methylene intactness under multiple environmental stresses for high voltage epoxy composites,"Khattak, A",MATERIALS RESEARCH EXPRESS,2020,10.1088/2053-1591/aba060,WoS,1,
"new alloy development from modified cast ni-base superalloy gtd-111 with additions of al, ni and/or co prepared by vacuum arc melting process","Kiatwisarnkij, N",MATERIALS TESTING,2020,10.3139/120.111531,WoS,1,
electrospun nanomembranes at the liquid-liquid and solid-liquid interface- a review,"Osali, S",MATERIALS TODAY,2023,10.1016/j.mattod.2023.05.005,WoS,1,
the flyash addition on al 5xxx series alloys prepared by die cast and examine its surface by radiographic method,"Pasupulla, AP",MATERIALS TODAY-PROCEEDINGS,2022,10.1016/j.matpr.2021.11.486,WoS,1,
abrasivity measurement of brittle rock after thermal treatment,"Wang, L",MEASUREMENT,2023,10.1016/j.measurement.2023.112710,WoS,1,
investigating the biochemical effects of heat stress and sample quenching approach on the metabolic profiling of abalone (<i>haliotis iris</i>),"Nguyen, TV",METABOLOMICS,2022,10.1007/s11306-021-01862-8,WoS,1,
behaviour broadens thermal safety margins on artificial coastal defences in the tropics,Chan S.H.M.; Ong D.R.Y.; Williams G.A.; Crickenberger S.; Loke L.H.L.; Todd P.A.,Marine Environmental Research,2022,10.1016/j.marenvres.2022.105618,Scopus,1,
multi-weather full-body triboelectric garments for personalized moisture management and water energy acquisition,"Kang, T",NANO ENERGY,2023,10.1016/j.nanoen.2023.108359,WoS,1,
multifunctional sic@sio<sub>2</sub> nanofiber aerogel with ultrabroadband electromagnetic wave absorption,"Song, LM",NANO-MICRO LETTERS,2022,10.1007/s40820-022-00905-6,WoS,1,
"evolution of double vortices induce tropical cyclogenesis of seroja over flores, indonesia","Yulihastin, E",NATURAL HAZARDS,2023,10.1007/s11069-023-05961-8,WoS,1,
"sensitivity of simulating typhoon haiyan (2013) using wrf: the role of cumulus convection, surface flux parameterizations, spectral nudging, and initial and boundary conditions","Delfino, RJ",NATURAL HAZARDS AND EARTH SYSTEM SCIENCES,2022,10.5194/nhess-22-3285-2022,WoS,1,
greenery as a mitigation and adaptation strategy to urban heat,"Wong, NH",NATURE REVIEWS EARTH & ENVIRONMENT,2021,10.1038/s43017-020-00129-5,WoS,1,
temperature-mediated shifts in chlorophyll biosynthesis in leaves of chlorophyll b-lacking rice<i> (oryza</i><i> sativa</i> l.),"Nguyen, KM",NOTULAE BOTANICAE HORTI AGROBOTANICI CLUJ-NAPOCA,2021,10.15835/nbha49212306,WoS,1,
diagnosing delivery capabilities on a large international nature-based solutions project,"Croeser, T",NPJ URBAN SUSTAINABILITY,2021,10.1038/s42949-021-00036-8,WoS,1,
impact of different sea surface roughness on surface gravity waves using a coupled atmosphere-wave model: a case of hurricane isaac (2012),"Kumar, RR",OCEAN DYNAMICS,2020,10.1007/s10236-019-01327-6,WoS,1,
effect of acute seawater temperature increase on the survival of a fish ectoparasite,"Shodipo, MO",OCEANS-SWITZERLAND,2020,10.3390/oceans1040016,WoS,1,
an extreme learning machine for predicting kerf waviness and heat affected zone in pulsed laser cutting of thin non-oriented silicon steel,"Nguyen, TH",OPTICS AND LASERS IN ENGINEERING,2020,10.1016/j.optlaseng.2020.106244,WoS,1,
a unified stochastic framework with memory for heat index and sea level dynamics,"Despi, LRG",PALAWAN SCIENTIST,2023,,WoS,1,
children with cardiac disease and heat exposure: catastrophic converging consequences?,"Souilla, L",PEDIATRIC EXERCISE SCIENCE,2024,10.1123/pes.2023-0086,WoS,1,
"mass mortality event of the giant barrel sponge xestospongia sp.: population dynamics and size distribution in koh phangan, gulf of thailand","Mueller, JS",PEERJ,2023,10.7717/peerj.16561,WoS,1,
effects of medications on heat loss capacity in chronic disease patients: health implications amidst global warming,"Wee, J",PHARMACOLOGICAL REVIEWS,2023,10.1124/pharmrev.122.000782,WoS,1,
daytime radiative cooling under a cloudy sky in tropical climate near the equator,"Hwang, J",PHOTONIC HEAT ENGINES:SCIENCE AND APPLICATIONS VI,2024,10.1117/12.3005407,WoS,1,
toward better understanding of the high-pressure structural transformation in beryllium by the statistical moment method,"Cuong, TD",PHYSICAL CHEMISTRY CHEMICAL PHYSICS,2023,10.1039/d3cp00071k,WoS,1,
investigation of thermal performance and chemical stability of graphene enhanced phase change material for thermal energy storage,"Kumar, RR",PHYSICS AND CHEMISTRY OF THE EARTH,2022,10.1016/j.pce.2022.103250,WoS,1,
numerical investigation of the flows and heat transfer characteristics of internal cooling channels with separated ribs in gas turbine blades,"Nguyen, V",PHYSICS OF FLUIDS,2024,10.1063/5.0183192,WoS,1,
coping with inclement weather conditions due to high temperature and water deficit in rice: an insight from genetic and biochemical perspectives,"Rabara, RC",PHYSIOLOGIA PLANTARUM,2021,10.1111/ppl.13272,WoS,1,
correlations between photosynthetic heat tolerance and leaf anatomy and climatic niche in asian mangrove trees,"Li, X",PLANT BIOLOGY,2022,10.1111/plb.13460,WoS,1,
divergent phenotypic response of rice accessions to transient heat stress during early seed development,"Paul, P",PLANT DIRECT,2020,10.1002/pld3.196,WoS,1,
silicon-mediated heat tolerance in higher plants: a mechanistic outlook,"Saha, G",PLANT PHYSIOLOGY AND BIOCHEMISTRY,2021,10.1016/j.plaphy.2021.05.051,WoS,1,
physiological and proteomic responses of cassava to short-term extreme cool and hot temperature,"Santanoo, S",PLANTS-BASEL,2022,10.3390/plants11172307,WoS,1,
"heatwaves and dengue outbreaks in hanoi, vietnam: new evidence on early warning","Cheng, J",PLOS NEGLECTED TROPICAL DISEASES,2020,10.1371/journal.pntd.0007997,WoS,1,
heating temperatures affect meat quality and vibrational spectroscopic properties of slow- and fast-growing chickens,"Katemala, S",POULTRY SCIENCE,2023,10.1016/j.psj.2023.102754,WoS,1,
boiling flow of graphene nanoplatelets nano-suspension on a small copper disk,"Goodarzi, M",POWDER TECHNOLOGY,2021,10.1016/j.powtec.2020.08.083,WoS,1,
"characteristics of prehospital heat illness cases during the annual heat wave period in telangana, india","Nadarajan, GD",PREHOSPITAL AND DISASTER MEDICINE,2021,10.1017/S1049023X21000583,WoS,1,
heat-related illness in singapore: descriptive analysis of a tertiary care center from 2008 to 2020,"Okada, Y",PROCEEDINGS OF SINGAPORE HEALTHCARE,2024,10.1177/20101058241232182,WoS,1,
spatial effect of a vertical multi-faceted rib on thermal performance and flow characteristics in a square channel,"Fithry, MA",PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART C-JOURNAL OF,2023,10.1177/09544062221126638,WoS,1,
artificial hummingbird-based optimisation with advanced crowding distance of energy reduction in the polyethylene reactors,"Rohman, FS",PROCESS INTEGRATION AND OPTIMIZATION FOR SUSTAINABILITY,2024,10.1007/s41660-023-00369-0,WoS,1,
applications of neutron computed tomography to thermal-hydraulics research,"Lohvithee, M",PROGRESS IN NUCLEAR ENERGY,2022,10.1016/j.pnucene.2022.104262,WoS,1,
urban intensification of convective rainfall over the singapore - johor bahru region,"Simón-Moral, A",QUARTERLY JOURNAL OF THE ROYAL METEOROLOGICAL SOCIETY,2021,10.1002/qj.4147,WoS,1,
"effects of weather on the health of individuals: comparative evidence from cambodia, laos, and vietnam","Nguyen, CV",REGIONAL STATISTICS,2023,10.15196/RS130204,WoS,1,
thermal performance enhancement of cementitious composite containing polystyrene/n-octadecane microcapsules: an experimental and numerical study,"Xiong, T",RENEWABLE ENERGY,2021,10.1016/j.renene.2021.01.034,WoS,1,
development of graft earthenware ceramic firing stove design from the usage of wasted gas fire and heat from tunnel stove in stoneware ceramic firing process,Ponimin,RENEWABLE ENERGY AND ITS APPLICATIONS,2020,10.1063/5.0000893,WoS,1,
advances in seawater membrane distillation (swmd) towards stand-alone zero liquid discharge (zld) desalination,"Julian, H",REVIEWS IN CHEMICAL ENGINEERING,2022,10.1515/revce-2020-0073,WoS,1,
"mathematical modeling, prediction and research on heat and moisture transfer of a kind of textile materials","Cui, YM",SCIENCE OF ADVANCED MATERIALS,2023,10.1166/sam.2023.4430,WoS,1,
"ambient thermal comfort analysis for four major cities in thailand, cambodia, and laos: variability, trend, factor attribution, and large-scale climatic influence","Chea, K",SCIENCEASIA,2021,10.2306/scienceasia1513-1874.2021.067,WoS,1,
typical and extreme weather datasets for studying the resilience of buildings to climate change and heatwaves,"Machard, A",SCIENTIFIC DATA,2024,10.1038/s41597-024-03319-8,WoS,1,
top-down estimation of particulate matter emissions from extreme tropical peatland fires using geostationary satellite fire radiative power observations,"Fisher, D",SENSORS,2020,10.3390/s20247075,WoS,1,
"assessment of temperature extremes and climate change impacts in singapore, 1982-2018","Jiang, RG",SINGAPORE JOURNAL OF TROPICAL GEOGRAPHY,2021,10.1111/sjtg.12384,WoS,1,
the interactive effect of temperature and fertilizer types determines the dominant microbes in nitrous oxide emissions and the dicyandiamide efficacy in a vegetable soil,"Xu, XY",SOIL ECOLOGY LETTERS,2024,10.1007/s42832-023-0213-3,WoS,1,
green synthesized 3d coconut shell biochar/polyethylene glycol composite as thermal energy storage material,"Kalidasan, B",SUSTAINABLE ENERGY TECHNOLOGIES AND ASSESSMENTS,2023,10.1016/j.seta.2023.103505,WoS,1,
an integrated sustainability assessment of synergistic supply of energy and water in remote communities,"Aberilla, JM",SUSTAINABLE PRODUCTION AND CONSUMPTION,2020,10.1016/j.spc.2020.01.003,WoS,1,
a review of advanced cooling strategies for battery thermal management systems in electric vehicles,"Garud, KS",SYMMETRY-BASEL,2023,10.3390/sym15071322,WoS,1,
changes in wet bulb globe temperature and risk to heat-related hazards in bangladesh,Kamal A.S.M.M.; Fahim A.K.F.; Shahid S.,Scientific Reports,2024,10.1038/s41598-024-61138-8,Scopus,1,
the future extreme temperature under rcp8.5 reduces the yields of major crops in northern peninsular of southeast asia,Amnuaylojaroen T.; Parasin N.,Scientific World Journal,2022,10.1155/2022/1410849,Scopus,1,
marker-assisted pyramiding of qtls for heat tolerance and escape upgrades heat resilience in rice (oryza sativa l.),"Ye, CR",THEORETICAL AND APPLIED GENETICS,2022,10.1007/s00122-022-04035-w,WoS,1,
design and performance simulation of a novel waste heat-driven liquid desiccant combined with transcritical co2 refrigeration system for ocean-going vessels in typical shipping routes,"Wang, Z",THERMAL SCIENCE AND ENGINEERING PROGRESS,2023,10.1016/j.tsep.2022.101636,WoS,1,
leaf thermotolerance of <i>hevea brasiliensis</i> clones: intra- versus interclonal variation and relationships with other functional traits,"Hazir, MHM",TREE PHYSIOLOGY,2024,10.1093/treephys/tpae022,WoS,1,
increased luteal tissues after secondary corpus luteum formation leads to enhanced progesterone concentrations and improved fertility in repeat-breeder dairy cows during heat stress condition in tropical climate,"Pirokad, W",TROPICAL ANIMAL HEALTH AND PRODUCTION,2022,10.1007/s11250-022-03295-4,WoS,1,
"drill-cored artificial rock pools can promote biodiversity and enhance community structure on coastal rock revetments at reclaimed coastlines of penang, malaysia","Chee, SY",TROPICAL CONSERVATION SCIENCE,2020,10.1177/1940082920951912,WoS,1,
"a review on behavior, material properties and finite element simulation of concrete tunnel linings under fire","Saleheen, Z",TUNNELLING AND UNDERGROUND SPACE TECHNOLOGY,2022,10.1016/j.tust.2022.104534,WoS,1,
climate change and population health in singapore: a systematic review.,Seow WJ,The Lancet regional health. Western Pacific,2023,10.1016/j.lanwpc.2023.100947,PubMed,1,
